frames,r11,r21,r31,r12,r22,r32,r13,r23,r33,roll,pitch,yaw,q1,q2,q3,q4,u1,u2,u3,angle,Sx,Sy,Sz,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z
4800,0.99844,0.032009,0.045755,-0.028552,0.99683,-0.074304,-0.047988,0.072882,0.99619,4.2657,2.6225,-1.8362,0.036836,0.023461,-0.015157,0.99893,0.79683,0.5075,-0.32787,5.2992,-14.754,140.92,-587.48,-0.023772,0.19376,-0.64265,-0.082009,0.18379,-0.70036,-0.043329,0.18441,-0.71308,0.035585,0.18417,-0.68322
4808,0.99659,0.027641,0.077795,-0.022086,0.9972,-0.071382,-0.079551,0.069421,0.99441,4.1059,4.4619,-1.5887,0.035253,0.039395,-0.01245,0.99852,0.64909,0.72535,-0.22924,6.2267,-16.32,140.81,-586.94,-0.023197,0.19383,-0.64223,-0.0796,0.18438,-0.70183,-0.040546,0.18478,-0.71328,0.037406,0.18425,-0.68091
4811,0.99518,0.023235,0.095295,-0.016357,0.99725,-0.072334,-0.096713,0.070426,0.99282,4.1671,5.4683,-1.3375,0.035756,0.048091,-0.0099163,0.99815,0.58866,0.79173,-0.16325,6.9648,-17.57,141.02,-586.92,-0.023075,0.19397,-0.64245,-0.078424,0.18481,-0.70294,-0.039158,0.18489,-0.71375,0.038181,0.18421,-0.68007
4845,0.99776,0.025704,0.061683,-0.02198,0.99794,-0.060303,-0.063105,0.058812,0.99627,3.4638,3.5364,-1.4757,0.029809,0.031228,-0.011933,0.999,0.66552,0.69721,-0.26642,5.1343,-13.937,140.11,-584.99,-0.021438,0.19365,-0.63971,-0.078799,0.185,-0.69843,-0.039947,0.18529,-0.71061,0.038508,0.18457,-0.67948
4850,0.99824,0.029118,0.051571,-0.023809,0.99463,-0.10074,-0.054227,0.099332,0.99358,5.7893,2.9561,-1.6708,0.050102,0.026495,-0.013254,0.9983,0.86078,0.45519,-0.22771,6.6736,-13.366,142.32,-588.03,-0.021774,0.19372,-0.64464,-0.079708,0.18246,-0.70252,-0.040962,0.18258,-0.715,0.037818,0.18279,-0.68472
4903,0.99248,0.029109,0.11892,-0.021687,0.99776,-0.063239,-0.12049,0.060184,0.99089,3.6517,6.8295,-1.68,0.030929,0.059993,-0.012729,0.99764,0.45029,0.87344,-0.18532,7.877,-18.245,140.05,-582.05,-0.022625,0.19343,-0.63726,-0.076531,0.18454,-0.69922,-0.037028,0.18484,-0.70916,0.039551,0.18458,-0.67349
4905,0.9882,0.032277,0.1497,-0.022938,0.99771,-0.063697,-0.15141,0.059512,0.98668,3.6937,8.6097,-1.8707,0.030908,0.075538,-0.013851,0.99657,0.37336,0.91247,-0.16732,9.4972,-19.789,140.04,-581.85,-0.022708,0.19345,-0.63712,-0.074672,0.18435,-0.70083,-0.034907,0.18487,-0.70947,0.040571,0.18474,-0.67144
4906,0.98256,0.032045,0.18315,-0.020871,0.99782,-0.062618,-0.18476,0.057704,0.98109,3.6519,10.553,-1.868,0.030226,0.092423,-0.013293,0.99517,0.30798,0.9417,-0.13545,11.265,-21.693,139.91,-581.81,-0.022773,0.19344,-0.63705,-0.072553,0.18444,-0.70248,-0.032493,0.18499,-0.70977,0.0416,0.18478,-0.6692
4908,0.97476,0.034124,0.22065,-0.020837,0.99784,-0.062272,-0.2223,0.056102,0.97336,3.6606,12.747,-2.005,0.029796,0.11149,-0.013834,0.99322,0.25635,0.95923,-0.11902,13.349,-23.72,139.83,-581.89,-0.02282,0.19343,-0.63706,-0.070047,0.18438,-0.7044,-0.029751,0.18506,-0.71008,0.042811,0.18495,-0.66665
4909,0.96489,0.030342,0.26091,-0.014382,0.99792,-0.062864,-0.26227,0.056904,0.96331,3.7337,15.124,-1.8011,0.030222,0.13202,-0.011286,0.99072,0.22238,0.97142,-0.083041,15.622,-26.362,139.87,-581.97,-0.022822,0.19342,-0.63708,-0.067216,0.18462,-0.70628,-0.02676,0.18503,-0.71033,0.043926,0.18478,-0.66399
4911,0.95262,0.031768,0.3025,-0.013743,0.99801,-0.06153,-0.30385,0.054458,0.95116,3.7013,17.608,-1.91,0.02936,0.15348,-0.01152,0.98765,0.18737,0.97953,-0.073521,18.03,-28.463,139.5,-582.39,-0.022901,0.19325,-0.63713,-0.064268,0.1844,-0.70828,-0.023663,0.18509,-0.71039,0.045011,0.18463,-0.66111
4912,0.93864,0.030277,0.34356,-0.011045,0.99827,-0.057798,-0.34472,0.050457,0.93735,3.5285,20.094,-1.8475,0.027499,0.17484,-0.010497,0.98416,0.1551,0.98612,-0.059205,20.425,-31.158,139.28,-582.8,-0.023066,0.19319,-0.63706,-0.061295,0.18473,-0.70986,-0.020607,0.1853,-0.71024,0.045836,0.1848,-0.65799
4914,0.92261,0.031904,0.38441,-0.010785,0.99832,-0.05697,-0.38558,0.048415,0.9214,3.538,22.607,-1.9805,0.026881,0.19641,-0.010889,0.98009,0.1354,0.98927,-0.054846,22.903,-33.707,138.97,-583.23,-0.023327,0.19297,-0.63702,-0.058315,0.18454,-0.71144,-0.01764,0.18517,-0.71003,0.046442,0.18479,-0.65488
4915,0.9045,0.028449,0.42552,-0.0044603,0.99835,-0.057265,-0.42645,0.049899,0.90314,3.6281,25.184,-1.8015,0.027465,0.21835,-0.0084344,0.97545,0.12471,0.99145,-0.038297,25.446,-36.358,138.81,-583.71,-0.023618,0.19285,-0.63695,-0.055263,0.18445,-0.71293,-0.01471,0.18511,-0.70961,0.046893,0.18422,-0.65182
4917,0.88522,0.024971,0.46451,0.0025448,0.99828,-0.058516,-0.46517,0.052982,0.88363,3.7887,27.678,-1.6158,0.028723,0.2395,-0.0057773,0.97046,0.11904,0.9926,-0.023944,27.924,-38.988,138.82,-584.1,-0.023998,0.19283,-0.63678,-0.05234,0.18436,-0.71404,-0.011956,0.18505,-0.70898,0.047119,0.18365,-0.64875
4918,0.86546,0.022735,0.50046,0.0087791,0.99813,-0.060525,-0.5009,0.056775,0.86364,4.0088,30.03,-1.5047,0.030379,0.25934,-0.0036143,0.9653,0.11633,0.99311,-0.013841,30.275,-41.373,139.0,-584.32,-0.024415,0.19297,-0.63644,-0.049618,0.18425,-0.71498,-0.0094692,0.18509,-0.7082,0.047092,0.1832,-0.64574
4920,0.82755,0.019891,0.56104,0.011151,0.99859,-0.051853,-0.56128,0.049167,0.82617,3.5913,34.127,-1.3769,0.02643,0.29363,-0.0022867,0.95555,0.089645,0.99594,-0.007756,34.294,-46.23,138.16,-585.28,-0.025555,0.19251,-0.63563,-0.045094,0.18445,-0.71578,-0.0055035,0.18518,-0.70611,0.046411,0.18303,-0.63977
4922,0.80875,0.015612,0.58794,0.014437,0.99882,-0.046382,-0.58797,0.046,0.80757,3.2871,36.011,-1.1059,0.024294,0.30923,-0.00030888,0.95068,0.078319,0.99693,-0.00099581,36.141,-48.69,137.82,-585.94,-0.026181,0.19235,-0.63529,-0.043059,0.18479,-0.71593,-0.0038638,0.18532,-0.70507,0.045898,0.18284,-0.63709
4923,0.7898,0.012793,0.61323,0.020376,0.99868,-0.047077,-0.61302,0.049677,0.7885,3.4168,37.823,-0.928,0.025579,0.32418,0.0020046,0.94565,0.078656,0.99688,0.0061641,37.955,-50.97,137.98,-586.28,-0.02682,0.1924,-0.63498,-0.041184,0.18474,-0.71623,-0.0023097,0.18521,-0.70413,0.045287,0.18244,-0.63476
4925,0.77253,0.013566,0.63483,0.021002,0.99868,-0.046899,-0.63463,0.049563,0.77123,3.4799,39.408,-1.006,0.025626,0.33724,0.0019754,0.94107,0.075767,0.99711,0.0058407,39.537,-52.379,137.76,-586.65,-0.027399,0.19234,-0.63475,-0.039515,0.18444,-0.71652,-0.00099169,0.18529,-0.70321,0.044673,0.18212,-0.63253
4926,0.75488,0.010951,0.65577,0.022552,0.99884,-0.042641,-0.65548,0.046978,0.75375,3.2379,40.978,-0.83115,0.023926,0.35007,0.0030972,0.93641,0.068185,0.99763,0.0088264,41.085,-54.734,137.48,-587.54,-0.028029,0.19209,-0.63467,-0.037899,0.18466,-0.71662,0.00025189,0.18515,-0.70241,0.043925,0.1821,-0.63051
4928,0.73736,0.011188,0.67541,0.021412,0.99897,-0.039925,-0.67516,0.043901,0.73636,3.1035,42.486,-0.86931,0.022491,0.36237,0.0027432,0.93176,0.061946,0.99805,0.0075554,42.579,-56.283,137.2,-588.32,-0.028665,0.19203,-0.63466,-0.036373,0.18468,-0.71687,0.0013728,0.18537,-0.70153,0.043215,0.18207,-0.62858
4929,0.72033,0.0095131,0.69356,0.027563,0.99872,-0.042326,-0.69308,0.049605,0.71915,3.3682,43.913,-0.75664,0.024789,0.37391,0.0048671,0.92712,0.066146,0.99773,0.012987,44.019,-58.173,137.58,-588.77,-0.029307,0.19219,-0.6346,-0.034986,0.18453,-0.71716,0.002401,0.18521,-0.70089,0.042369,0.18173,-0.62699
