frames,r11,r21,r31,r12,r22,r32,r13,r23,r33,pitch,yaw,roll,q1,q2,q3,q4,u1,u2,u3,angle,Sx,Sy,Sz,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z
4937,0.98584,0.041929,0.16234,-0.0054632,0.97575,-0.21883,-0.16758,0.21485,0.96216,12.813,9.343,-2.4354,0.10947,0.083279,-0.011963,0.99042,0.79288,0.60319,-0.086645,15.872,-11.635,134.8,-606.39,-0.003558,0.19099,-0.61647,-0.056875,0.19824,-0.67931,-0.016884,0.19774,-0.68871,0.058895,0.18761,-0.65306
5131,0.98566,0.038284,0.16435,-0.0043765,0.9794,-0.2019,-0.16869,0.19829,0.96552,11.811,9.4592,-2.2243,0.10093,0.083991,-0.010759,0.99128,0.76608,0.63753,-0.081665,15.141,-9.3555,134.4,-604.77,-0.0010332,0.19071,-0.61395,-0.054272,0.19917,-0.67674,-0.01427,0.19865,-0.6861,0.061465,0.18805,-0.65054
5199,0.98257,0.048358,0.17951,-0.013431,0.98152,-0.1909,-0.18542,0.18516,0.96506,11.189,10.341,-2.8176,0.094857,0.092051,-0.015586,0.9911,0.71271,0.69162,-0.1171,15.297,-10.865,135.87,-605.15,-0.0036352,0.19249,-0.61331,-0.056069,0.2008,-0.67691,-0.015944,0.20128,-0.68541,0.059345,0.19062,-0.64903
5224,0.9844,0.035252,0.17235,-0.0034323,0.98338,-0.18153,-0.17589,0.17811,0.96816,10.62,9.9246,-2.0509,0.090639,0.087765,-0.0097495,0.99196,0.71627,0.69356,-0.077045,14.54,-10.119,136.4,-604.13,-0.001655,0.19287,-0.61213,-0.054465,0.20266,-0.67515,-0.014368,0.20226,-0.68421,0.061109,0.19107,-0.64831
5274,0.98271,0.042997,0.18011,-0.004865,0.97833,-0.20701,-0.1851,0.20256,0.96162,12.149,10.376,-2.5053,0.1034,0.092198,-0.012083,0.99028,0.74355,0.66301,-0.086891,15.987,-9.7698,141.86,-621.57,-0.0023508,0.19834,-0.63051,-0.054598,0.20592,-0.69431,-0.014531,0.20617,-0.7028,0.060683,0.19514,-0.66623
5293,0.98081,0.030944,0.19249,0.0077672,0.98034,-0.19718,-0.1948,0.19489,0.96129,11.592,11.098,-1.8071,0.098981,0.097775,-0.0058513,0.99026,0.7108,0.70214,-0.042019,16.009,-8.8333,140.91,-616.47,7.5547e-05,0.19722,-0.62513,-0.051276,0.20631,-0.68933,-0.011052,0.2056,-0.69757,0.063583,0.19428,-0.65992
5311,0.98287,0.024988,0.18261,0.014275,0.97747,-0.21058,-0.18376,0.20958,0.96037,12.368,10.522,-1.4563,0.1061,0.092516,-0.0027052,0.99004,0.75356,0.6571,-0.019214,16.188,-6.2141,141.65,-613.92,0.0028447,0.19781,-0.62331,-0.049124,0.20638,-0.68725,-0.0089354,0.20541,-0.69582,0.065924,0.19368,-0.65877
5326,0.98225,0.023082,0.18615,0.011741,0.98289,-0.18383,-0.18721,0.18275,0.96517,10.784,10.728,-1.3462,0.092454,0.094163,-0.0028604,0.99125,0.70044,0.71339,-0.021671,15.17,-9.3509,138.0,-595.85,-0.00051219,0.19444,-0.60365,-0.052278,0.20455,-0.66744,-0.012106,0.20398,-0.67582,0.062695,0.19143,-0.63906
5332,0.98168,0.026109,0.18873,0.0056694,0.98612,-0.16591,-0.19044,0.16394,0.96791,9.7266,10.879,-1.5235,0.083134,0.095563,-0.0051514,0.99193,0.6558,0.75384,-0.040636,14.566,-11.284,135.82,-588.01,-0.0022468,0.19233,-0.59502,-0.053993,0.2035,-0.65872,-0.013701,0.20291,-0.66713,0.06113,0.19076,-0.63018
5340,0.98279,0.020645,0.18355,0.0070057,0.98885,-0.14874,-0.18457,0.14747,0.97169,8.7028,10.576,-1.2034,0.074581,0.092688,-0.0034343,0.99289,0.62664,0.77877,-0.028855,13.671,-11.15,132.86,-579.31,-0.0019255,0.18945,-0.58544,-0.054028,0.20189,-0.64867,-0.013777,0.20127,-0.65728,0.061217,0.18842,-0.62096
6773,0.9851,0.02183,0.17057,0.012759,0.9799,-0.1991,-0.17149,0.19831,0.96502,11.657,9.8211,-1.2695,0.10023,0.086273,-0.0022879,0.99121,0.7578,0.65226,-0.017298,15.201,-4.0943,132.72,-588.2,0.0054583,0.18885,-0.5973,-0.047279,0.19847,-0.66044,-0.0072101,0.19711,-0.66951,0.068112,0.18546,-0.63338
7076,0.98595,0.010431,0.16674,0.021113,0.98227,-0.18629,-0.16573,0.18719,0.96824,10.891,9.5985,-0.60617,0.094121,0.083787,0.0026918,0.99203,0.74675,0.66476,0.021357,14.482,-2.3247,131.35,-585.72,0.0077943,0.18748,-0.59417,-0.045154,0.19846,-0.65696,-0.005042,0.19677,-0.66627,0.07026,0.18405,-0.63062
7091,0.98885,0.0037705,0.14885,0.024561,0.98185,-0.18804,-0.14686,0.1896,0.97082,10.962,8.5602,-0.21847,0.095108,0.074473,0.0052362,0.99266,0.7866,0.61594,0.043306,13.889,-0.12357,131.47,-585.88,0.0099201,0.1876,-0.59443,-0.044107,0.19873,-0.65632,-0.004161,0.19701,-0.66627,0.071682,0.18345,-0.63195
7094,0.99139,0.0034117,0.13089,0.020769,0.98291,-0.18292,-0.12928,0.18407,0.97437,10.633,7.5212,-0.19717,0.092343,0.065464,0.0043674,0.99356,0.81519,0.57791,0.038555,13.009,1.4692,131.06,-585.82,0.011212,0.18727,-0.59416,-0.043889,0.19867,-0.65497,-0.0041816,0.19712,-0.6656,0.072267,0.18329,-0.63295
7096,0.99416,-0.0037895,0.10781,0.023901,0.98228,-0.18587,-0.1052,0.18736,0.97664,10.775,6.1893,0.2184,0.093858,0.053568,0.0069635,0.99412,0.8667,0.49466,0.064303,12.434,2.2229,131.26,-584.88,0.012474,0.1873,-0.59376,-0.043986,0.1991,-0.65331,-0.0044874,0.19699,-0.66493,0.072623,0.18297,-0.6339
7098,0.99627,-0.003811,0.086175,0.019529,0.98305,-0.1823,-0.084019,0.1833,0.97946,10.543,4.9436,0.21917,0.091874,0.042769,0.0058652,0.99483,0.90507,0.42133,0.057779,11.652,3.3632,131.11,-584.37,0.013667,0.18712,-0.59341,-0.044044,0.19926,-0.65158,-0.004785,0.19698,-0.66419,0.072967,0.18318,-0.63478
7100,0.9979,-0.0031064,0.064649,0.01453,0.9841,-0.177,-0.063071,0.17757,0.98208,10.217,3.7067,0.17836,0.089044,0.032074,0.0044292,0.9955,0.9398,0.33852,0.046747,10.874,5.0747,130.85,-584.25,0.015099,0.18692,-0.59316,-0.04389,0.19932,-0.65007,-0.0049196,0.19718,-0.66345,0.073454,0.18328,-0.63585
7102,0.99895,-0.0055491,0.045396,0.013474,0.98427,-0.17618,-0.043704,0.17661,0.98331,10.158,2.6019,0.31827,0.088568,0.022369,0.0047757,0.99581,0.96823,0.24454,0.052208,10.497,6.546,130.65,-583.98,0.016472,0.18673,-0.59299,-0.043565,0.19931,-0.64873,-0.0048767,0.19714,-0.66283,0.073959,0.18295,-0.63677
7104,0.99963,-0.010875,0.02506,0.015148,0.98406,-0.17721,-0.022733,0.17752,0.98385,10.21,1.436,0.62329,0.089043,0.011997,0.0065322,0.99593,0.98844,0.13317,0.072512,10.337,7.8946,130.64,-583.63,0.017919,0.18666,-0.59287,-0.04316,0.19951,-0.64738,-0.0048121,0.19715,-0.66232,0.074488,0.18254,-0.63787
7106,0.99979,-0.020576,0.0024773,0.020686,0.98336,-0.1805,0.0012779,0.18051,0.98357,10.399,0.14194,1.179,0.090629,0.00030113,0.010359,0.99583,0.99353,0.0033011,0.11356,10.468,9.1954,130.67,-583.28,0.019476,0.18659,-0.59286,-0.042734,0.19985,-0.64604,-0.0047054,0.19713,-0.66184,0.074976,0.18174,-0.63932
7108,0.99966,-0.019793,-0.016791,0.01662,0.98502,-0.17166,0.019937,0.17133,0.98501,9.8859,-0.96211,1.1343,0.086074,-0.0092171,0.0091379,0.9962,0.98882,-0.10589,0.10498,9.9875,10.954,130.21,-583.71,0.021006,0.18623,-0.59295,-0.042196,0.19993,-0.64479,-0.0044767,0.1974,-0.66133,0.07558,0.18184,-0.64028
7110,0.99854,-0.026324,-0.047112,0.017961,0.9853,-0.16987,0.050891,0.16878,0.98434,9.7914,-2.7003,1.5101,0.085002,-0.024599,0.011116,0.99602,0.95309,-0.27582,0.12464,10.233,13.434,130.14,-583.83,0.023581,0.18611,-0.59326,-0.04109,0.20036,-0.64313,-0.0038574,0.1976,-0.66077,0.07672,0.18147,-0.64221
7112,0.99724,-0.03138,-0.067242,0.019217,0.98448,-0.17443,0.071672,0.17266,0.98237,10.068,-3.8556,1.8023,0.087163,-0.034885,0.012706,0.9955,0.92002,-0.36822,0.13412,10.873,15.508,130.15,-584.13,0.025394,0.18614,-0.59371,-0.040177,0.20031,-0.64232,-0.0033529,0.19762,-0.66064,0.077481,0.18076,-0.64391
7114,0.99558,-0.036294,-0.086593,0.020279,0.98362,-0.17912,0.091675,0.17657,0.98001,10.358,-4.9676,2.0878,0.089379,-0.044796,0.014216,0.99489,0.8851,-0.4436,0.14078,11.591,17.168,130.17,-584.1,0.027234,0.18603,-0.59423,-0.039295,0.20037,-0.64164,-0.0027649,0.19731,-0.66071,0.078269,0.1803,-0.64535
7116,0.99312,-0.042008,-0.10932,0.021675,0.98326,-0.18094,0.11509,0.17732,0.9774,10.488,-6.2759,2.4221,0.090087,-0.056427,0.016014,0.99421,0.83802,-0.52491,0.14897,12.342,19.879,130.13,-584.65,0.029802,0.186,-0.59487,-0.037688,0.20053,-0.64079,-0.0016855,0.19748,-0.66064,0.079609,0.17972,-0.64734
7119,0.99008,-0.049668,-0.13146,0.025005,0.9828,-0.18299,0.13829,0.17789,0.97428,10.637,-7.5542,2.8719,0.090822,-0.067889,0.018793,0.99337,0.79018,-0.59066,0.1635,13.2,22.127,130.13,-584.98,0.032257,0.1859,-0.59554,-0.036156,0.20089,-0.63996,-0.0005984,0.19751,-0.66063,0.080857,0.17918,-0.64906
7121,0.98651,-0.054892,-0.15421,0.025612,0.98225,-0.1858,0.16167,0.17935,0.97041,10.839,-8.8707,3.1848,0.09199,-0.079576,0.020281,0.99237,0.746,-0.64532,0.16447,14.167,24.605,130.02,-585.63,0.034666,0.18575,-0.59645,-0.034665,0.20092,-0.63928,0.00040787,0.19742,-0.66077,0.081989,0.17857,-0.65101
7124,0.98262,-0.059707,-0.17577,0.025977,0.98177,-0.18827,0.18381,0.18043,0.96626,11.026,-10.124,3.4772,0.092986,-0.090686,0.021609,0.99129,0.7062,-0.68873,0.16411,15.132,27.409,129.88,-586.81,0.03706,0.18571,-0.59749,-0.03309,0.20086,-0.63886,0.001381,0.19764,-0.66101,0.082961,0.17783,-0.6533
7126,0.97707,-0.071859,-0.20044,0.03183,0.98005,-0.19619,0.21054,0.18532,0.95986,11.552,-11.563,4.2063,0.096383,-0.10383,0.026196,0.98957,0.669,-0.72068,0.18183,16.567,29.316,129.9,-587.3,0.03941,0.18549,-0.59878,-0.031679,0.2012,-0.63843,0.002309,0.19728,-0.66154,0.084023,0.17678,-0.6558
7129,0.97209,-0.074474,-0.22248,0.030135,0.98006,-0.1964,0.23267,0.18422,0.95495,11.622,-12.855,4.381,0.09628,-0.11513,0.026461,0.98832,0.63176,-0.75546,0.17363,17.532,32.095,129.61,-588.97,0.041664,0.18536,-0.60014,-0.030231,0.20102,-0.63824,0.0031478,0.19752,-0.6619,0.084763,0.17614,-0.65826
7130,0.96785,-0.079723,-0.23855,0.033156,0.9806,-0.19319,0.24932,0.17907,0.95172,11.475,-13.801,4.7089,0.094251,-0.12352,0.028579,0.98744,0.59661,-0.78187,0.1809,18.179,33.238,129.29,-589.96,0.043019,0.18501,-0.60113,-0.029368,0.20129,-0.63797,0.0036204,0.19761,-0.66216,0.085224,0.17576,-0.65977
7133,0.96231,-0.083972,-0.25866,0.03086,0.97871,-0.20292,0.27019,0.18729,0.94441,12.126,-14.991,4.987,0.098979,-0.13415,0.029128,0.98558,0.58486,-0.79267,0.17211,19.487,35.431,129.54,-590.62,0.044952,0.18518,-0.60236,-0.028143,0.20118,-0.63776,0.0042578,0.19737,-0.66267,0.085772,0.17519,-0.66201
7135,0.95608,-0.091152,-0.27856,0.032423,0.97747,-0.20857,0.29129,0.19038,0.9375,12.543,-16.174,5.446,0.10138,-0.14482,0.031404,0.98375,0.56467,-0.80657,0.17491,20.687,37.177,129.42,-591.46,0.046686,0.18499,-0.60356,-0.027055,0.2012,-0.63748,0.0047909,0.19719,-0.66308,0.086268,0.17432,-0.66421
7138,0.94937,-0.097906,-0.29851,0.035815,0.97773,-0.20677,0.31211,0.18561,0.93174,12.512,-17.368,5.888,0.099873,-0.15542,0.034036,0.9822,0.53165,-0.82736,0.18118,21.655,38.35,129.11,-592.42,0.04816,0.18457,-0.60474,-0.026138,0.20154,-0.63707,0.0051661,0.19718,-0.66334,0.086497,0.17386,-0.6661
7140,0.94386,-0.098953,-0.31517,0.031684,0.9768,-0.2118,0.32882,0.18992,0.9251,12.895,-18.371,5.985,0.10242,-0.16419,0.033308,0.98053,0.5216,-0.83616,0.16962,22.649,40.118,129.28,-593.23,0.049433,0.18482,-0.60561,-0.025418,0.20143,-0.6367,0.0053593,0.1973,-0.66347,0.086525,0.17357,-0.66776
7143,0.93728,-0.10318,-0.33297,0.033039,0.97718,-0.20982,0.34702,0.18566,0.9193,12.857,-19.449,6.2824,0.10099,-0.17364,0.034786,0.979,0.49538,-0.85175,0.17063,23.526,41.185,128.86,-594.23,0.050568,0.18438,-0.60664,-0.024793,0.20148,-0.6363,0.0054937,0.19725,-0.66361,0.086544,0.17306,-0.66947
7145,0.93085,-0.1074,-0.34926,0.031951,0.97609,-0.21501,0.364,0.18898,0.91202,13.265,-20.442,6.5819,0.10337,-0.18249,0.035655,0.97711,0.48587,-0.85781,0.1676,24.566,42.278,129.07,-594.52,0.051666,0.18446,-0.60748,-0.024158,0.20169,-0.63584,0.0056159,0.19715,-0.66374,0.086465,0.17285,-0.67099
7148,0.92396,-0.10905,-0.36661,0.030906,0.97665,-0.21262,0.38123,0.18512,0.90576,13.21,-21.507,6.7311,0.10193,-0.19166,0.035868,0.9755,0.46328,-0.87109,0.16302,25.42,43.357,128.76,-595.46,0.05268,0.18416,-0.60844,-0.023592,0.20171,-0.63535,0.0056461,0.19715,-0.66378,0.086294,0.17266,-0.67244
7150,0.91712,-0.11122,-0.38278,0.029005,0.97636,-0.2142,0.39755,0.18535,0.89866,13.407,-22.506,6.9147,0.10259,-0.20036,0.036005,0.97367,0.45003,-0.87893,0.15795,26.354,44.561,128.48,-596.33,0.053614,0.18394,-0.60928,-0.023119,0.20149,-0.63489,0.0056216,0.19706,-0.66377,0.08605,0.17209,-0.67394
7153,0.90973,-0.10916,-0.40059,0.024112,0.97708,-0.2115,0.41449,0.18275,0.89151,13.346,-23.615,6.8423,0.10141,-0.20966,0.034282,0.9719,0.43079,-0.89063,0.14562,27.232,45.928,128.33,-596.91,0.054737,0.1838,-0.60994,-0.022462,0.2014,-0.63403,0.0056759,0.19703,-0.66344,0.085793,0.17231,-0.67515
7155,0.90136,-0.11101,-0.4186,0.022232,0.97717,-0.21128,0.4325,0.18113,0.88325,13.453,-24.746,7.0214,0.10116,-0.21941,0.03435,0.96977,0.41453,-0.89908,0.14076,28.25,47.02,128.14,-597.03,0.055722,0.18359,-0.61023,-0.021881,0.2014,-0.63275,0.0056594,0.19695,-0.66277,0.085525,0.17209,-0.67601
7158,0.89227,-0.11163,-0.43749,0.017676,0.97685,-0.2132,0.45116,0.1825,0.87358,13.715,-25.944,7.1311,0.10227,-0.22967,0.033419,0.9673,0.40323,-0.90556,0.13176,29.384,47.938,128.11,-597.02,0.056377,0.18352,-0.61054,-0.021679,0.20132,-0.63141,0.0052262,0.19677,-0.66206,0.084841,0.17194,-0.67713
7161,0.88283,-0.10916,-0.45683,0.012709,0.97781,-0.20908,0.46951,0.17878,0.86463,13.594,-27.183,7.0485,0.10048,-0.23997,0.03157,0.96505,0.38341,-0.91569,0.12047,30.386,48.782,127.75,-597.39,0.056959,0.18319,-0.61094,-0.021557,0.2011,-0.63008,0.0046948,0.19662,-0.66129,0.084006,0.17202,-0.67795
7163,0.87199,-0.10573,-0.47796,0.0060165,0.97864,-0.2055,0.48948,0.17632,0.854,13.53,-28.553,6.9134,0.099189,-0.25132,0.029029,0.96237,0.36502,-0.92485,0.10683,31.536,50.184,127.59,-597.54,0.057876,0.18314,-0.61092,-0.021077,0.20091,-0.62814,0.0044188,0.19672,-0.65994,0.08325,0.17219,-0.67868
7165,0.86445,-0.10235,-0.49219,0.0035846,0.98029,-0.19755,0.50271,0.169,0.84778,13.117,-29.485,6.7521,0.095377,-0.25887,0.027563,0.9608,0.344,-0.93369,0.099414,32.193,51.219,127.02,-598.04,0.0587,0.18271,-0.61097,-0.020502,0.20062,-0.62685,0.0044777,0.19677,-0.65902,0.082989,0.17223,-0.67913
7168,0.84719,-0.10657,-0.52049,-0.00095798,0.97937,-0.20208,0.53129,0.1717,0.82961,13.69,-31.365,7.1694,0.097738,-0.27503,0.027616,0.95606,0.33337,-0.93808,0.094192,34.097,53.159,126.95,-597.67,0.060394,0.1825,-0.61131,-0.019242,0.20061,-0.62455,0.0046605,0.19638,-0.65766,0.082502,0.17176,-0.68035
7171,0.83548,-0.10419,-0.53955,-0.0030061,0.98098,-0.19409,0.54951,0.16378,0.81928,13.328,-32.653,7.1087,0.093845,-0.28558,0.026534,0.95338,0.31098,-0.94634,0.087927,35.128,54.69,126.14,-598.49,0.061724,0.18182,-0.61173,-0.018163,0.20017,-0.62311,0.0050254,0.19624,-0.65673,0.082308,0.17152,-0.68117
